<2020-01-02 12.34.49.285>MATH_CORE_JNI  DeviceExtension:VK_EXT_pipeline_creation_feedback
<2020-01-02 12.34.49.286>MATH_CORE_JNI  DeviceExtension:VK_EXT_post_depth_coverage
<2020-01-02 12.34.49.287>MATH_CORE_JNI  DeviceExtension:VK_EXT_sample_locations
<2020-01-02 12.34.49.288>MATH_CORE_JNI  DeviceExtension:VK_EXT_sampler_filter_minmax
<2020-01-02 12.34.49.289>MATH_CORE_JNI  DeviceExtension:VK_EXT_scalar_block_layout
<2020-01-02 12.34.49.290>MATH_CORE_JNI  DeviceExtension:VK_EXT_separate_stencil_usage
<2020-01-02 12.34.49.290>MATH_CORE_JNI  DeviceExtension:VK_EXT_shader_demote_to_helper_invocation
<2020-01-02 12.34.49.292>MATH_CORE_JNI  DeviceExtension:VK_EXT_shader_subgroup_ballot
<2020-01-02 12.34.49.293>MATH_CORE_JNI  DeviceExtension:VK_EXT_shader_subgroup_vote
<2020-01-02 12.34.49.294>MATH_CORE_JNI  DeviceExtension:VK_EXT_shader_viewport_index_layer
<2020-01-02 12.34.49.295>MATH_CORE_JNI  DeviceExtension:VK_EXT_subgroup_size_control
<2020-01-02 12.34.49.296>MATH_CORE_JNI  DeviceExtension:VK_EXT_texel_buffer_alignment
<2020-01-02 12.34.49.297>MATH_CORE_JNI  DeviceExtension:VK_EXT_transform_feedback
<2020-01-02 12.34.49.298>MATH_CORE_JNI  DeviceExtension:VK_EXT_vertex_attribute_divisor
<2020-01-02 12.34.49.299>MATH_CORE_JNI  DeviceExtension:VK_EXT_ycbcr_image_arrays
<2020-01-02 12.34.49.300>MATH_CORE_JNI  DeviceExtension:VK_NV_clip_space_w_scaling
<2020-01-02 12.34.49.300>MATH_CORE_JNI  DeviceExtension:VK_NV_dedicated_allocation
<2020-01-02 12.34.49.301>MATH_CORE_JNI  DeviceExtension:VK_NV_dedicated_allocation_image_aliasing
<2020-01-02 12.34.49.302>MATH_CORE_JNI  DeviceExtension:VK_NV_device_diagnostic_checkpoints
<2020-01-02 12.34.49.303>MATH_CORE_JNI  DeviceExtension:VK_NV_external_memory
<2020-01-02 12.34.49.304>MATH_CORE_JNI  DeviceExtension:VK_NV_external_memory_win32
<2020-01-02 12.34.49.305>MATH_CORE_JNI  DeviceExtension:VK_NV_fill_rectangle
<2020-01-02 12.34.49.306>MATH_CORE_JNI  DeviceExtension:VK_NV_fragment_coverage_to_color
<2020-01-02 12.34.49.307>MATH_CORE_JNI  DeviceExtension:VK_NV_framebuffer_mixed_samples
<2020-01-02 12.34.49.308>MATH_CORE_JNI  DeviceExtension:VK_NV_coverage_reduction_mode
<2020-01-02 12.34.49.308>MATH_CORE_JNI  DeviceExtension:VK_NV_geometry_shader_passthrough
<2020-01-02 12.34.49.309>MATH_CORE_JNI  DeviceExtension:VK_NV_sample_mask_override_coverage
<2020-01-02 12.34.49.310>MATH_CORE_JNI  DeviceExtension:VK_NV_shader_sm_builtins
<2020-01-02 12.34.49.311>MATH_CORE_JNI  DeviceExtension:VK_NV_shader_subgroup_partitioned
<2020-01-02 12.34.49.312>MATH_CORE_JNI  DeviceExtension:VK_NV_viewport_array2
<2020-01-02 12.34.49.313>MATH_CORE_JNI  DeviceExtension:VK_NV_viewport_swizzle
<2020-01-02 12.34.49.314>MATH_CORE_JNI  DeviceExtension:VK_NV_win32_keyed_mutex
<2020-01-02 12.34.49.314>MATH_CORE_JNI  DeviceExtension:VK_NVX_device_generated_commands
<2020-01-02 12.34.49.315>MATH_CORE_JNI  DeviceExtension:VK_NVX_multiview_per_view_attributes
<2020-01-02 12.34.49.316>MATH_CORE_JNI  DeviceExtension:VK_NV_ray_tracing
